"test","year","month"
6.15432271957387,1984,1
6.2623450279235,1984,2
4.89199998855581,1984,3
3.44413333892816,1984,4
2.62490325927727,1984,5
1.76986663818353,1984,6
2.28309674262993,1984,7
1.70503223419183,1984,8
2.28546662330622,1984,9
3.9130322647094,1984,10
5.82600002288808,1984,11
5.1842580986022,1984,12
6.18748388290398,1985,1
6.36071435928335,1985,2
6.18412914276111,1985,3
5.06613336563097,1985,4
2.8198709487914,1985,5
1.63999999999992,1985,6
1.8059355068206,1985,7
2.41832262039175,1985,8
3.34519994735711,1985,9
4.70645170211781,1985,10
5.52480003356922,1985,11
5.46296768188464,1985,12
6.07832241058339,1986,1
6.2628572654723,1986,2
6.01845149993886,1986,3
3.12493341445915,1986,4
2.65316129684441,1986,5
1.79786664962763,1986,6
1.62193545341485,1986,7
2.63935474395744,1986,8
2.58920005798334,1986,9
3.50103229522697,1986,10
5.61453330993643,1986,11
5.20400009155263,1986,12
4.74064514160148,1987,1
7.15099979400625,1987,2
4.64400007247916,1987,3
4.2321332168578,1987,4
2.70941928863514,1987,5
2.01360000610347,1987,6
2.27690320014945,1987,7
2.3818064785003,1987,8
3.61466670989984,1987,9
4.51367759704582,1987,10
5.36359994888296,1987,11
6.50645151138296,1987,12
8.57135467529288,1988,1
5.77765520095813,1988,2
7.12438697814929,1988,3
4.77133340835559,1988,4
3.18180637359609,1988,5
2.45893337249748,1988,6
2.40232262611382,1988,7
2.36322573661796,1988,8
3.60066671371453,1988,9
2.91406451225274,1988,10
6.4042667007445,1988,11
7.31329036712637,1988,12
7.75083877563463,1989,1
7.91128555297837,1989,2
6.61587116241443,1989,3
4.85493314743031,1989,4
2.8713548755645,1989,5
2.41066665649408,1989,6
2.6996129512786,1989,7
2.4785806655883,1989,8
3.67160007476798,1989,9
3.58916124343865,1989,10
6.81973335266104,1989,11
7.4628387069701,1989,12
7.15238716125478,1990,1
6.98857147216787,1990,2
6.64580659866322,1990,3
4.09359996795644,1990,4
2.27187089920039,1990,5
1.76119997978204,1990,6
1.73845161437981,1990,7
2.24541935920708,1990,8
3.18813335418692,1990,9
4.88232250213616,1990,10
5.57786674499504,1990,11
5.90180643081657,1990,12
7.00606441497791,1991,1
6.60185707092277,1991,2
5.47909690856927,1991,3
3.28879995346063,1991,4
2.77793544769281,1991,5
2.13026669502252,1991,6
1.98980645179741,1991,7
1.74929035186762,1991,8
2.57146670341487,1991,9
4.886451511383,1991,10
4.35786661148064,1991,11
5.89058063507072,1991,12
4.83974189758292,1992,1
6.75862068176259,1992,2
5.76567745208731,1992,3
3.09786661148062,1992,4
2.59561281204216,1992,5
2.10439996719354,1992,6
1.65058067321771,1992,7
1.88490325927728,1992,8
2.4904000091552,1992,9
5.09070978164665,1992,10
4.89693325042714,1992,11
6.95393550872792,1992,12
6.80348379135124,1993,1
6.89814289093004,1993,2
5.29793550491321,1993,3
4.17280002593986,1993,4
2.12361286163324,1993,5
1.38960003852838,1993,6
1.87083868026728,1993,7
2.40425810813896,1993,8
3.50079994201655,1993,9
3.27587089538569,1993,10
4.28239986419675,1993,11
5.19019355773918,1993,12
5.94903240203854,1994,1
6.61871421813957,1994,2
6.22709674835197,1994,3
3.19013329505916,1994,4
1.65703226089471,1994,5
2.13039994239801,1994,6
1.65496776580804,1994,7
1.87509673118585,1994,8
2.54853339195246,1994,9
5.0686451911926,1994,10
4.55080001831049,1994,11
9.65058078765862,1994,12
7.54154827117908,1995,1
7.44371448516837,1995,2
3.8563871574401,1995,3
2.59093339920038,1995,4
2.61045160293575,1995,5
1.82039995193477,1995,6
1.49135487556451,1995,7
2.38851614952081,1995,8
3.14493334770196,1995,9
4.18451614379877,1995,10
5.12026678085318,1995,11
5.30451602935784,1995,12
6.97251605987539,1996,1
6.64717227935783,1996,2
5.25277416229239,1996,3
2.77279997825615,1996,4
2.7760000801086,1996,5
2.23239996910089,1996,6
2.22632259368889,1996,7
2.21199998855585,1996,8
2.43706667900079,1996,9
2.98219360351554,1996,10
3.90493337631217,1996,11
4.7225806427001,1996,12
8.09432254791247,1997,1
7.86142864227287,1997,2
3.7860645675658,1997,3
3.03786662101739,1997,4
2.15922580718987,1997,5
2.33520006179804,1997,6
1.31393549919121,1997,7
1.55251614570611,1997,8
2.75519998550408,1997,9
4.74283866882319,1997,10
5.89040000915523,1997,11
5.46593540191642,1997,12
7.66374176025375,1998,1
6.88985729217524,1998,2
5.59600009918205,1998,3
2.26213327407832,1998,4
2.30012912750238,1998,5
1.94013332366937,1998,6
1.70503228187553,1998,7
2.83006443023675,1998,8
2.59266657829277,1998,9
2.6110967063903,1998,10
4.97426654815664,1998,11
6.17290327072134,1998,12
7.37690307617178,1999,1
5.22657138824451,1999,2
4.22980651855459,1999,3
2.90666660308828,1999,4
1.46541935920709,1999,5
1.86986662864678,1999,6
1.97238705635065,1999,7
2.28167734146112,1999,8
2.96506665229792,1999,9
4.01329027175896,1999,10
4.71893341064445,1999,11
6.74258071899402,1999,12
7.00335472106924,2000,1
9.10979297637932,2000,2
5.47109670639027,2000,3
