year,month,gnip,precip,temp,vpd,pet,rad
1982,11,-2.69,7.234400024,10.25799995,7.045466766,4.458666553,19.57453339
1982,12,-3.19,3.658580599,11.12812916,6.897806435,4.896387196,21.79574219
1983,1,-3.47,6.663225842,10.40651623,5.707741833,4.338451767,20.14877426
1983,2,-4.74,1.521285715,14.6421431,9.723285522,4.964428616,18.94257179
1983,3,-5.9,3.820258045,11.24606449,5.046322727,2.711354923,12.29174206
1983,4,-4.35,5.875866566,8.169466782,3.483199978,1.620533361,9.157999878
1983,5,-4.66,8.07161314,7.425032234,2.732258072,0.848129022,5.790451813
1983,6,-5.59,11.11960014,4.438399982,2.050133314,0.465866675,4.605733433
1983,7,-5.96,4.474322491,4.350387001,1.950580664,0.532903216,5.328129196
1983,8,-2.66,7.478322582,6.47180645,2.274322548,1.087741919,7.233419228
1983,9,-4.45,10.35039989,5.563533192,2.640666676,1.805866661,10.83146648
1983,10,0.33,4.268257952,8.070129089,4.00412899,3.130838633,16.63793533
1983,11,-2.67,8.009999771,9.302733383,4.637999878,3.562133331,17.67213341
1983,12,-2.65,2.487741923,11.80070953,7.073806343,5.062838745,22.48567719
1984,1,-2.16,4.821419334,11.77903233,6.15432272,4.467612953,19.93096779
1984,2,-2.66,2.901379318,11.89820663,6.262345028,4.082344933,18.72275894
1984,3,-4.5,5.778967762,10.60019337,4.891999989,2.801419353,13.5664518
1984,4,-2.78,6.945199966,8.804799843,3.444133339,1.715999961,9.598000107
1984,5,-3.67,6.837935638,7.443483925,2.624903259,0.876258075,6.196774101
1984,6,-4.24,8.629200325,5.869466515,1.769866638,0.440266676,4.857866573
1984,7,-6.5,6.581419182,4.206258106,2.283096743,0.591354835,5.480387115
1984,8,-5.32,13.55212879,4.771096802,1.705032234,0.810967767,6.126709557
1984,9,-6.07,10.10893333,5.368866768,2.285466623,1.56413332,10.24706692
1984,10,-3.58,7.890967865,7.762580566,3.913032265,2.99109683,15.87238678
1984,11,-1.85,5.144666538,10.26913319,5.826000023,4.347066631,20.21959961
1984,12,-3.1,9.020774231,9.700322685,5.184258099,4.227870846,20.57716064
1985,1,-3.77,6.74116127,11.18974197,6.187483883,4.343613052,19.86206474
1985,2,-1.39,3.049999971,11.23321426,6.360714359,4.08028574,18.6875721
1985,3,-2.78,3.009161367,12.85580647,6.184129143,3.12890316,13.93303226
1985,4,-4.85,3.947466631,10.69953335,5.066133366,2.101866665,9.824133453
1985,5,-5.62,8.361806679,7.602064438,2.819870949,0.85045161,6.311613083
1985,6,-4.99,8.002933426,4.268999882,1.64,0.411600007,4.775600128
